Population,Sample,Mut,Severity,col,row
YRI,19,19,19,1,400
ESN,13,13,13,1,401
ESN,13,13,13,1,402
MSL,15,15,15,1,403
ESN,13,13,13,1,404
ESN,13,13,13,1,405
ASW,23,23,23,1,406
GWD,12,12,12,1,407
GWD,12,12,12,1,408
YRI,19,19,19,1,409
GWD,12,12,12,1,410
LWK,22,22,22,1,411
CHS,3,3,3,1,412
CHS,3,3,3,1,413
CHB,20,20,20,1,414
JPT,21,21,21,1,415
CHS,3,3,3,1,416
CHS,3,3,3,1,417
CDX,5,5,5,1,418
CHS,3,3,3,1,419
CHS,3,3,3,1,420
CHS,3,3,3,1,421
CHB,20,20,20,1,422
JPT,21,21,21,1,423
GBR,1,1,1,1,424
CHS,3,3,3,1,425
GWD,12,12,12,1,426
ASW,23,23,23,1,427
CDX,5,5,5,1,428
CDX,5,5,5,1,429
CDX,5,5,5,1,430
CDX,5,5,5,1,431
CHS,3,3,3,1,432
CHS,3,3,3,1,433
CDX,5,5,5,1,434
JPT,21,21,21,1,435
CHB,20,20,20,1,436
CHB,20,20,20,1,437
JPT,21,21,21,1,438
JPT,21,21,21,1,439
JPT,21,21,21,1,440
JPT,21,21,21,1,441
JPT,21,21,21,1,442
JPT,21,21,21,1,443
JPT,21,21,21,1,444
JPT,21,21,21,1,445
JPT,21,21,21,1,446
JPT,21,21,21,1,447
JPT,21,21,21,1,448
MXL,24,24,24,1,449
LWK,22,22,22,1,450
LWK,22,22,22,1,451
LWK,22,22,22,1,452
LWK,22,22,22,1,453
JPT,21,21,21,1,454
LWK,22,22,22,1,455
LWK,22,22,22,1,456
YRI,19,19,19,1,457
YRI,19,19,19,1,458
MXL,24,24,24,1,459
ACB,11,11,11,1,460
GWD,12,12,12,1,461
YRI,19,19,19,1,462
CHS,3,3,3,1,463
KHV,10,10,10,1,464
KHV,10,10,10,1,465
CDX,5,5,5,1,466
CDX,5,5,5,1,467
CDX,5,5,5,1,468
CDX,5,5,5,1,469
CHS,3,3,3,1,470
CHS,3,3,3,1,471
CDX,5,5,5,1,472
CDX,5,5,5,1,473
JPT,21,21,21,1,474
JPT,21,21,21,1,475
CHB,20,20,20,1,476
CHB,20,20,20,1,477
JPT,21,21,21,1,478
CHS,3,3,3,1,479
CHS,3,3,3,1,480
CHS,3,3,3,1,481
CHB,20,20,20,1,482
JPT,21,21,21,1,483
JPT,21,21,21,1,484
JPT,21,21,21,1,485
CHS,3,3,3,1,486
CHB,20,20,20,1,487
CHB,20,20,20,1,488
JPT,21,21,21,1,489
CEU,18,18,18,1,490
CEU,18,18,18,1,491
JPT,21,21,21,1,492
JPT,21,21,21,1,493
JPT,21,21,21,1,494
JPT,21,21,21,1,495
JPT,21,21,21,1,496
JPT,21,21,21,1,497
CHB,20,20,20,1,498
JPT,21,21,21,1,499
CHS,3,3,3,1,500
MXL,24,24,24,1,501
JPT,21,21,21,1,502
PUR,4,4,4,1,503
CLM,6,6,6,1,504
YRI,19,19,19,1,505
LWK,22,22,22,1,506
JPT,21,21,21,1,507
BEB,14,14,14,1,508
ACB,11,11,11,1,509
ACB,11,11,11,1,510
ACB,11,11,11,1,511
STU,16,16,16,1,512
CHS,3,3,3,1,513
CHS,3,3,3,1,514
ITU,17,17,17,1,515
ACB,11,11,11,1,516
PJL,9,9,9,1,517
ITU,17,17,17,1,518
ITU,17,17,17,1,519
PJL,9,9,9,1,520
PJL,9,9,9,1,521
ITU,17,17,17,1,522
STU,16,16,16,1,523
ITU,17,17,17,1,524
ITU,17,17,17,1,525
STU,16,16,16,1,526
STU,16,16,16,1,527
BEB,14,14,14,1,528
MSL,15,15,15,1,529
CLM,6,6,6,1,530
GWD,12,12,12,1,531
MSL,15,15,15,1,532
MSL,15,15,15,1,533
ESN,13,13,13,1,534
ESN,13,13,13,1,535
GWD,12,12,12,1,536
MSL,15,15,15,1,537
PJL,9,9,9,1,538
GWD,12,12,12,1,539
ESN,13,13,13,1,540
CHS,3,3,3,1,541
IBS,7,7,7,1,542
IBS,7,7,7,1,543
PJL,9,9,9,1,544
ACB,11,11,11,1,545
GWD,12,12,12,1,546
GWD,12,12,12,1,547
GWD,12,12,12,1,548
MSL,15,15,15,1,549
GWD,12,12,12,1,550
MSL,15,15,15,1,551
MSL,15,15,15,1,552
PJL,9,9,9,1,553
BEB,14,14,14,1,554
KHV,10,10,10,1,555
GBR,1,1,1,1,556
CEU,18,18,18,1,557
KHV,10,10,10,1,558
ACB,11,11,11,1,559
ACB,11,11,11,1,560
ACB,11,11,11,1,561
ACB,11,11,11,1,562
GWD,12,12,12,1,563
ESN,13,13,13,1,564
ESN,13,13,13,1,565
ESN,13,13,13,1,566
ESN,13,13,13,1,567
GWD,12,12,12,1,568
GWD,12,12,12,1,569
GWD,12,12,12,1,570
ACB,11,11,11,1,571
GWD,12,12,12,1,572
PUR,4,4,4,1,573
PUR,4,4,4,1,574
PUR,4,4,4,1,575
CLM,6,6,6,1,576
YRI,19,19,19,1,577
YRI,19,19,19,1,578
YRI,19,19,19,1,579
YRI,19,19,19,1,580
YRI,19,19,19,1,581
YRI,19,19,19,1,582
YRI,19,19,19,1,583
YRI,19,19,19,1,584
LWK,22,22,22,1,585
YRI,19,19,19,1,586
YRI,19,19,19,1,587
LWK,22,22,22,1,588
YRI,19,19,19,1,589
YRI,19,19,19,1,590
ASW,23,23,23,1,591
ASW,23,23,23,1,592
ASW,23,23,23,1,593
ASW,23,23,23,1,594
ASW,23,23,23,1,595
ASW,23,23,23,1,596
MSL,15,15,15,1,597
MSL,15,15,15,1,598
ESN,13,13,13,1,599
ESN,13,13,13,1,600
ESN,13,13,13,1,601
ESN,13,13,13,1,602
ESN,13,13,13,1,603
MSL,15,15,15,1,604
MSL,15,15,15,1,605
MSL,15,15,15,1,606
ESN,13,13,13,1,607
ESN,13,13,13,1,608
ESN,13,13,13,1,609
ESN,13,13,13,1,610
YRI,19,19,19,1,611
YRI,19,19,19,1,612
YRI,19,19,19,1,613
ASW,23,23,23,1,614
YRI,19,19,19,1,615
CDX,5,5,5,1,616
CHB,20,20,20,1,617
KHV,10,10,10,1,618
CHB,20,20,20,1,619
IBS,7,7,7,1,620
IBS,7,7,7,1,621
YRI,19,19,19,1,622
FIN,2,2,2,1,623
IBS,7,7,7,1,624
KHV,10,10,10,1,625
CDX,5,5,5,1,626
CEU,18,18,18,1,627
ACB,11,11,11,1,628
STU,16,16,16,1,629
ITU,17,17,17,1,630
ITU,17,17,17,1,631
PJL,9,9,9,1,632
PJL,9,9,9,1,633
PJL,9,9,9,1,634
PJL,9,9,9,1,635
PJL,9,9,9,1,636
PJL,9,9,9,1,637
STU,16,16,16,1,638
BEB,14,14,14,1,639
STU,16,16,16,1,640
STU,16,16,16,1,641
ITU,17,17,17,1,642
ITU,17,17,17,1,643
ITU,17,17,17,1,644
ITU,17,17,17,1,645
BEB,14,14,14,1,646
ACB,11,11,11,1,647
BEB,14,14,14,1,648
BEB,14,14,14,1,649
IBS,7,7,7,1,650
FIN,2,2,2,1,651
FIN,2,2,2,1,652
GBR,1,1,1,1,653
FIN,2,2,2,1,654
PUR,4,4,4,1,655
FIN,2,2,2,1,656
FIN,2,2,2,1,657
IBS,7,7,7,1,658
IBS,7,7,7,1,659
GBR,1,1,1,1,660
IBS,7,7,7,1,661
IBS,7,7,7,1,662
IBS,7,7,7,1,663
IBS,7,7,7,1,664
TSI,25,25,25,1,665
TSI,25,25,25,1,666
TSI,25,25,25,1,667
TSI,25,25,25,1,668
TSI,25,25,25,1,669
TSI,25,25,25,1,670
CEU,18,18,18,1,671
CEU,18,18,18,1,672
ITU,17,17,17,1,673
